         201248 function calls (196248 primitive calls) in 0.136 seconds

   Ordered by: cumulative time
   List reduced from 25 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.136    0.136 profile:0(<function main.<locals>.run_generate_scene_program_many at 0x0000026CCF8605E0>)
        1    0.004    0.004    0.136    0.136 profile_important_functions.py:273(run_generate_scene_program_many)
     2500    0.032    0.000    0.131    0.000 scene_llm.py:250(generate_scene_program)
     2500    0.014    0.000    0.037    0.000 catalog.py:67(assets_mentioned_in_prompt)
18333/15833    0.008    0.000    0.029    0.000 main.py:240(__init__)
18333/15833    0.022    0.000    0.023    0.000 :0(validate_python)
    15000    0.010    0.000    0.017    0.000 :0(any)
     8333    0.004    0.000    0.011    0.000 scene_llm.py:51(_extract_requested_count)
    40417    0.010    0.000    0.010    0.000 catalog.py:75(<genexpr>)
     2500    0.004    0.000    0.007    0.000 catalog.py:83(normalize_assets)
    30000    0.007    0.000    0.007    0.000 :0(replace)
    18333    0.005    0.000    0.005    0.000 :0(lower)
     1666    0.001    0.000    0.005    0.000 __init__.py:174(search)
     5000    0.002    0.000    0.003    0.000 catalog.py:47(supported_assets_for_room)
    13332    0.003    0.000    0.003    0.000 :0(append)
     2500    0.002    0.000    0.002    0.000 scene_llm.py:42(_extract_style)
     7500    0.002    0.000    0.002    0.000 :0(get)
     1666    0.002    0.000    0.002    0.000 :0(search)
     1666    0.001    0.000    0.002    0.000 __init__.py:280(_compile)
     2500    0.001    0.000    0.001    0.000 :0(fromkeys)


         201248 function calls (196248 primitive calls) in 0.136 seconds

   Ordered by: internal time
   List reduced from 25 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2500    0.032    0.000    0.131    0.000 scene_llm.py:250(generate_scene_program)
18333/15833    0.022    0.000    0.023    0.000 :0(validate_python)
     2500    0.014    0.000    0.037    0.000 catalog.py:67(assets_mentioned_in_prompt)
    15000    0.010    0.000    0.017    0.000 :0(any)
    40417    0.010    0.000    0.010    0.000 catalog.py:75(<genexpr>)
18333/15833    0.008    0.000    0.029    0.000 main.py:240(__init__)
    30000    0.007    0.000    0.007    0.000 :0(replace)
    18333    0.005    0.000    0.005    0.000 :0(lower)
     2500    0.004    0.000    0.007    0.000 catalog.py:83(normalize_assets)
        1    0.004    0.004    0.136    0.136 profile_important_functions.py:273(run_generate_scene_program_many)
     8333    0.004    0.000    0.011    0.000 scene_llm.py:51(_extract_requested_count)
    13332    0.003    0.000    0.003    0.000 :0(append)
     7500    0.002    0.000    0.002    0.000 :0(get)
     1666    0.002    0.000    0.002    0.000 :0(search)
     5000    0.002    0.000    0.003    0.000 catalog.py:47(supported_assets_for_room)
     2500    0.002    0.000    0.002    0.000 scene_llm.py:42(_extract_style)
     1666    0.001    0.000    0.005    0.000 __init__.py:174(search)
     2500    0.001    0.000    0.001    0.000 :0(fromkeys)
     5000    0.001    0.000    0.001    0.000 :0(len)
     1666    0.001    0.000    0.002    0.000 __init__.py:280(_compile)


