         227578 function calls (213176 primitive calls) in 0.597 seconds

   Ordered by: cumulative time
   List reduced from 135 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.597    0.597 profile:0(<function main.<locals>.run_vertical_inference_many at 0x0000017E96F607C0>)
        1    0.006    0.006    0.597    0.597 profile_important_functions.py:258(run_vertical_inference_many)
      150    0.007    0.000    0.588    0.004 engine.py:500(run_vertical_inference)
      750    0.006    0.000    0.395    0.001 engine.py:47(_write_json)
      750    0.003    0.000    0.298    0.000 pathlib.py:1039(write_text)
      900    0.001    0.000    0.222    0.000 pathlib.py:1005(open)
      900    0.214    0.000    0.221    0.000 :0(open)
      900    0.089    0.000    0.089    0.000 :0(__exit__)
  302/300    0.001    0.000    0.066    0.000 pathlib.py:1306(mkdir)
      302    0.055    0.000    0.062    0.000 :0(mkdir)
      150    0.002    0.000    0.043    0.000 engine.py:220(_load_bank)
      150    0.000    0.000    0.038    0.000 main.py:384(model_copy)
  750/150    0.003    0.000    0.038    0.000 main.py:974(__deepcopy__)
     1953    0.003    0.000    0.037    0.000 pathlib.py:551(drive)
13200/300    0.015    0.000    0.037    0.000 copy.py:118(deepcopy)
  750/150    0.005    0.000    0.036    0.000 copy.py:217(_deepcopy_dict)
     1201    0.003    0.000    0.034    0.000 pathlib.py:407(_load_parts)
      752    0.001    0.000    0.034    0.000 pathlib.py:731(parent)
      150    0.000    0.000    0.029    0.000 pathlib.py:1022(read_text)
     3304    0.004    0.000    0.024    0.000 pathlib.py:437(__str__)


         227578 function calls (213176 primitive calls) in 0.597 seconds

   Ordered by: internal time
   List reduced from 135 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      900    0.214    0.000    0.221    0.000 :0(open)
      900    0.089    0.000    0.089    0.000 :0(__exit__)
      302    0.055    0.000    0.062    0.000 :0(mkdir)
      750    0.015    0.000    0.016    0.000 :0(stat)
13200/300    0.015    0.000    0.037    0.000 copy.py:118(deepcopy)
      750    0.011    0.000    0.011    0.000 encoder.py:205(iterencode)
2050/1900    0.010    0.000    0.010    0.000 :0(validate_python)
     9006    0.010    0.000    0.016    0.000 <frozen ntpath>:180(splitroot)
      150    0.007    0.000    0.588    0.004 engine.py:500(run_vertical_inference)
    28360    0.007    0.000    0.007    0.000 :0(get)
      450    0.006    0.000    0.006    0.000 :0(to_python)
     1201    0.006    0.000    0.017    0.000 <frozen ntpath>:108(join)
        1    0.006    0.006    0.597    0.597 profile_important_functions.py:258(run_vertical_inference_many)
     1201    0.006    0.000    0.013    0.000 pathlib.py:387(_parse_path)
      750    0.006    0.000    0.395    0.001 engine.py:47(_write_json)
      150    0.005    0.000    0.007    0.000 :0(read)
  750/150    0.005    0.000    0.036    0.000 copy.py:217(_deepcopy_dict)
    18916    0.004    0.000    0.004    0.000 :0(isinstance)
      150    0.004    0.000    0.004    0.000 decoder.py:344(raw_decode)
     3304    0.004    0.000    0.024    0.000 pathlib.py:437(__str__)


